,en-R2Tg_delta-FADD_RNA-Seq-rep1.HTSeq.out,en-R2Tg_delta-FADD_RNA-Seq-rep2.HTSeq.out,en-R2Tg_NC_RNA-Seq-rep1.HTSeq.out,en-R2Tg_NC_RNA-Seq-rep2.HTSeq.out,en-R2Tg_RNA-Seq-rep1.HTSeq.out,en-R2Tg_RNA-Seq-rep2.HTSeq.out
NUDCD1,484,563,457,481,412,382
NUDCD2,416,602,440,451,470,549
NUDCD3,1585,2174,2024,1642,1964,1776
NUDT1,423,563,484,420,535,476
NUDT10,78,155,164,147,116,147
NUDT11,372,391,444,387,383,396
NUDT12,166,187,176,168,138,191
NUDT13,74,84,104,84,104,70
NUDT14,126,205,164,154,197,163
NUDT15,529,762,689,692,593,481
NUDT16,523,756,791,632,729,636
NUDT16-DT,0,1,2,0,2,2
NUDT16L1,659,987,830,689,1075,915
NUDT16L2P,0,4,1,0,0,0
NUDT17,527,719,585,592,583,549
NUDT18,69,100,99,65,74,96
NUDT19,397,629,618,569,566,441
NUDT2,92,209,191,189,166,160
NUDT21,1605,2256,2261,2074,1770,1728
NUDT22,192,290,287,239,370,297
NUDT3,631,892,1036,896,783,634
NUDT4,292,420,435,413,368,322
NUDT4B,41,77,59,48,61,35
NUDT4P2,1,5,9,8,2,4
NUDT5,1717,2426,2065,1934,1946,2048
NUDT6,126,174,144,150,167,160
NUDT7,9,62,46,30,31,30
NUDT8,59,71,82,75,86,76
NUDT9,578,686,766,597,630,594
NUDT9P1,0,16,2,1,1,4
NUF2,513,709,653,647,537,515
NUFIP1,623,813,645,594,727,611
NUFIP2,1677,2127,1864,1831,1878,1903
NUGGC,8,3,3,0,3,1
NUMA1,2541,3812,4991,4451,3546,3103
NUMB,995,1384,1328,999,1302,1161
NUMBL,487,766,731,719,734,602
NUP107,1928,2376,2156,2249,1936,1976
NUP133,2897,3924,3935,3693,2851,2970
NUP133-DT,4,4,2,4,2,4
NUP153,2892,3890,3861,3668,3213,3125
NUP153-AS1,180,275,311,299,363,268
NUP155,3524,4576,4284,4352,3381,3637
NUP160,1639,2337,2604,2292,1618,1935
NUP188,2420,3739,5355,4627,3327,2823
NUP205,4116,5865,7363,6482,4417,4626
NUP210,2789,4171,4863,4216,3886,3378
NUP210L,14,13,14,6,25,13
NUP210P1,0,0,0,0,0,0
NUP214,2645,3912,4000,3648,2830,2376
NUP35,301,459,351,361,354,399
NUP37,479,696,595,566,607,577
NUP42,738,944,833,806,844,795
NUP43,1781,2444,1823,2027,1858,1893
NUP50,1892,2423,2255,2214,1823,1786
NUP50-DT,90,136,140,96,136,109
NUP54,1236,1792,1529,1433,1292,1431
NUP58,774,1014,898,848,793,763
NUP62,2384,3395,3101,2677,3031,2404
NUP62CL,284,398,312,330,306,372
NUP85,1689,2292,2234,2000,1976,1775
NUP88,1688,2280,2505,2225,1883,1796
NUP93,1908,2823,2895,2378,2387,2219
NUP93-DT,1,1,0,3,1,0
NUP98,2682,3779,4230,4003,2793,2787
NUPR1,269,372,116,147,333,278
NUPR2,0,0,0,0,0,0
NUS1,881,1139,1181,1206,1005,897
NUSAP1,2332,3211,2613,2732,2668,2473
NUTF2,1924,2809,2726,2195,2630,2332
NUTF2P4,0,0,0,0,0,0
NUTM1,9,21,16,8,14,2
NUTM2A,31,34,60,50,32,25
NUTM2A-AS1,125,185,169,195,194,143
NUTM2B,0,4,4,1,1,2
NUTM2B-AS1,307,450,321,306,424,305
NUTM2D,16,25,42,12,32,11
NUTM2E,26,53,32,53,72,47
NUTM2F,9,2,3,2,2,2
NUTM2G,70,81,89,101,82,73
NVL,2906,4282,3680,3722,2764,2963
NWD1,9,21,28,19,8,5
NWD2,2,3,7,0,4,0
NXF1,3953,5614,5120,4611,5340,4856
NXF2,0,4,0,0,0,0
NXF2B,0,0,0,0,0,0
NXF3,28,26,15,17,26,14
NXF4,0,0,0,0,1,0
NXF5,0,1,0,0,0,0
NXN,865,1104,1176,973,945,826
NXNL1,0,6,0,1,8,0
NXNL2,2,2,1,5,1,4
NXPE1,0,0,1,0,0,0
NXPE2,0,2,2,4,4,0
NXPE3,326,430,430,382,357,334
NXPE4,2,0,0,1,0,5
NXPH1,17,32,20,29,11,14
NXPH2,1,0,11,23,2,2
NXPH3,10,11,17,16,12,14
NXPH4,172,228,289,243,262,159
NXT1,417,681,550,550,559,494
NXT1-AS1,7,6,11,5,5,5
NXT2,160,149,141,174,122,106
NXTAR,0,0,0,0,0,0
NYAP1,33,39,43,39,33,25
NYAP2,0,0,0,0,0,0
NYNRIN,199,327,331,262,264,274
NYX,0,0,0,0,0,0
OACYLP,0,0,0,0,0,0
OAF,388,603,648,575,560,423
OARD1,305,381,350,327,340,376
OAS1,0,0,0,0,0,0
OAS2,1,1,1,0,5,0
OAS3,37,42,22,10,42,37
OASL,0,2,10,2,6,0
OAT,1893,2593,2486,2426,2040,2099
OAZ1,12175,18034,15060,13398,17764,15189
OAZ2,1813,2640,2038,1806,2079,1989
OAZ3,695,933,845,822,1078,703
OBI1,1887,2377,1757,2088,1840,2048
OBI1-AS1,908,1316,1020,1009,1036,1173
OBP2A,0,0,0,0,0,0
OBP2B,0,0,0,0,0,0
OBSCN,371,618,552,526,559,484
OBSCN-AS1,17,22,31,21,23,15
OBSL1,2207,2884,3052,2638,2870,2438
OC90,0,0,0,0,0,0
OCA2,36,31,31,38,31,27
OCEL1,43,67,78,56,87,88
OCIAD1,1237,1528,1183,1336,1376,1325
OCIAD1-AS1,21,26,15,20,22,28
OCIAD2,0,2,0,0,1,1
OCLN,266,370,395,273,261,248
OCLNP1,6,28,16,20,7,22
OCM,0,2,0,0,0,4
OCM2,1,0,0,0,0,0
OCRL,1348,1796,1667,1498,1387,1399
OCSTAMP,0,0,0,0,1,0
ODAD1,11,36,17,13,19,22
ODAD2,67,125,82,94,74,61
ODAD2P1,3,0,1,0,0,3
ODAD3,347,544,619,502,530,520
ODAD4,130,136,121,92,154,136
ODAM,0,0,0,0,0,0
ODAPH,2,3,10,2,5,1
ODC1,6181,7676,8020,7579,6618,6384
ODC1-DT,10,16,10,6,10,21
ODF1,0,0,0,0,0,1
ODF2,1426,2039,2203,2086,1779,1688
ODF2-AS1,169,250,288,263,205,192
ODF2L,292,326,309,258,297,295
ODF3,0,0,6,0,0,0
ODF3B,21,31,57,25,33,21
ODF3L1,10,9,11,3,20,14
ODF3L2,19,67,24,21,55,26
ODF4,3,3,4,13,0,1
ODR4,951,1381,1005,1008,915,899
OFCC1,0,0,1,0,0,0
OFD1,567,890,822,813,651,714
OGA,4761,6452,5624,5203,5334,5414
OGDH,1174,1950,1934,1763,1949,1572
OGDHL,212,312,455,309,253,320
OGFOD1,1406,1764,1588,1458,1421,1532
OGFOD2,458,578,521,420,568,495
OGFOD3,274,420,448,367,455,406
OGFR,665,1040,1060,838,1105,934
OGFR-AS1,10,18,13,2,6,3
OGFRL1,369,499,345,498,316,330
OGFRP1,22,26,25,16,25,13
OGG1,449,646,566,480,585,526
OGN,1,2,1,0,4,1
OGT,4519,6432,5607,5259,5462,5552
OIP5,225,250,311,248,278,211
OIP5-AS1,796,1075,1041,1006,799,814
OIT3,0,3,6,7,2,0
OLA1,1927,2560,2259,2258,1992,2084
OLAH,2,0,1,2,0,3
OLFM1,23,30,35,22,14,20
OLFM2,89,178,189,136,117,139
OLFM3,0,0,0,0,0,0
OLFM4,0,2,1,0,0,0
OLFM5P,0,0,1,1,1,0
OLFML1,0,0,0,6,0,0
OLFML2A,20,33,32,47,29,24
OLFML2B,6,21,18,15,12,15
OLFML3,0,1,2,0,0,4
OLIG1,21,13,32,30,17,19
OLIG2,107,186,154,163,148,135
OLIG3,0,0,0,0,0,0
OLMALINC,371,637,316,269,505,389
OLR1,0,0,0,0,0,1
OMA1,151,245,219,251,168,196
OMD,0,5,0,0,0,0
OMG,7,0,4,0,0,0
OMP,0,1,0,0,6,6
ONECUT1,4,1,3,1,5,3
ONECUT2,417,488,612,465,424,481
ONECUT3,5,3,2,0,0,9
OOEP,0,0,0,2,0,0
OOEP-AS1,0,0,1,0,0,0
OOSP1,39,40,22,21,15,31
OOSP2,0,0,0,0,0,0
OOSP3,0,8,3,2,4,0
OOSP4A,28,25,10,36,17,14
OOSP4B,0,1,2,0,0,0
OPA1,764,1045,1008,1117,773,871
OPA1-AS1,22,31,34,35,19,21
OPA3,426,678,730,636,472,451
OPALIN,0,0,0,0,0,0
OPCML,0,0,0,0,0,1
OPCML-IT1,0,0,0,0,0,0
OPHN1,82,126,116,103,76,131
OPLAH,5,0,0,5,2,1
OPN1LW,0,0,0,0,0,0
OPN1MW,0,0,0,0,0,0
OPN1MW2,0,0,0,0,0,0
OPN1SW,19,52,28,31,32,45
OPN3,31,36,20,30,27,34
OPN4,0,0,0,0,0,0
OPN5,0,0,0,2,8,0
OPRD1,140,212,174,227,148,129
OPRK1,0,0,0,0,0,0
OPRL1,24,21,31,26,33,44
OPRM1,1,5,1,0,1,12
OPRPN,0,0,0,0,0,0
OPTC,0,0,0,0,1,1
OPTN,497,690,598,564,487,511
OR10A2,1,1,2,0,0,0
OR10A3,0,0,0,0,0,0
OR10A4,0,0,0,0,0,0
OR10A5,0,1,0,0,0,0
OR10A6,0,0,0,0,0,0
OR10A7,0,0,0,0,0,0
OR10AC1,0,0,0,0,0,0
OR10AD1,1,12,8,1,10,9
OR10AG1,0,0,0,0,0,0
OR10C1,0,0,0,0,0,0
OR10D3,0,0,0,0,0,0
OR10G2,0,0,0,0,0,0
OR10G3,0,0,0,0,0,0
OR10G4,0,0,0,0,0,0
OR10G6,0,0,0,0,0,0
OR10G7,0,0,0,0,0,0
OR10G8,0,0,0,0,0,0
OR10G9,0,0,0,0,0,0
OR10H1,2,0,0,9,5,1
OR10H2,0,0,0,0,0,0
OR10H3,0,0,0,0,0,0
OR10H4,0,0,0,0,0,0
OR10H5,0,0,0,0,0,0
OR10J1,0,0,0,0,0,0
OR10J3,0,0,0,0,0,0
OR10J4,0,0,0,0,0,0
OR10J5,0,0,0,0,0,0
OR10K1,0,0,0,0,0,0
OR10K2,0,0,0,0,0,0
OR10P1,0,0,0,0,0,0
OR10Q1,0,0,0,0,0,0
OR10R2,0,0,0,0,0,0
OR10S1,0,0,0,0,0,0
OR10T2,0,0,0,0,0,0
OR10V1,0,0,0,0,0,0
OR10V2P,0,0,0,0,0,0
OR10W1,0,0,0,0,0,0
OR10X1,0,0,0,0,0,0
OR10Z1,0,0,0,0,0,0
OR11A1,0,0,0,0,0,0
OR11G2,0,0,0,0,0,0
OR11H1,0,1,0,0,2,0
OR11H12,0,1,0,0,0,0
OR11H2,1,4,0,0,1,2
OR11H4,0,1,1,0,0,0
OR11H6,1,0,0,0,0,0
OR11H7,3,1,2,19,0,1
OR11L1,0,0,0,0,0,0
OR12D1,0,0,0,0,0,0
OR12D2,0,0,0,1,0,0
OR12D3,0,0,0,0,0,0
OR13A1,0,0,1,2,1,1
OR13C2,0,0,0,0,0,0
OR13C3,0,0,0,0,0,0
OR13C4,0,0,0,0,0,0
OR13C5,0,0,0,0,0,0
OR13C8,0,0,0,0,0,0
OR13C9,0,0,0,0,0,0
OR13D1,0,0,0,0,0,0
OR13F1,0,0,0,0,0,0
OR13G1,0,0,0,0,0,0
OR13H1,0,0,0,0,0,0
OR13J1,0,8,2,0,1,1
OR14A16,0,0,0,0,0,0
OR14A2,0,0,0,0,0,0
OR14C36,0,0,0,0,0,0
OR14I1,0,1,0,8,0,0
OR14J1,0,0,0,0,0,0
OR14K1,0,0,0,0,0,0
OR14L1P,0,0,0,0,0,0
OR1A1,0,0,0,0,0,0
OR1A2,0,0,0,0,0,0
OR1B1,0,2,0,0,0,0
OR1C1,0,0,0,0,0,0
OR1D2,0,0,0,0,0,0
OR1D4,0,0,0,0,0,0
OR1D5,0,0,0,0,0,0
OR1E1,0,0,0,0,0,0
OR1E2,0,0,0,0,0,0
OR1F1,8,4,21,5,8,5
OR1F2P,4,1,7,2,2,6
OR1G1,0,0,0,0,0,0
OR1I1,0,0,0,0,0,1
OR1J1,0,0,0,0,0,0
OR1J2,0,0,0,0,0,0
OR1J4,0,0,0,0,0,0
OR1K1,1,0,0,0,0,0
OR1L1,0,0,0,0,0,0
OR1L3,0,0,0,0,0,0
OR1L4,0,0,0,0,0,0
OR1L6,0,0,0,0,0,0
OR1L8,5,8,1,2,11,1
OR1M1,5,0,0,0,3,7
OR1N1,0,0,0,0,0,0
OR1N2,0,0,0,0,0,0
OR1Q1,0,0,0,0,0,1
OR1R1P,0,0,0,0,0,0
OR1S1,0,0,0,0,0,0
OR1S2,0,0,0,0,0,0
OR2A1-AS1,0,0,0,0,0,0
OR2A12,0,0,0,0,0,0
OR2A14,0,0,0,0,0,0
OR2A2,0,0,0,0,0,0
OR2A25,0,0,0,0,0,0
OR2A4,0,0,0,0,0,0
OR2A5,0,0,0,0,0,0
OR2AE1,0,0,0,0,0,0
OR2AG1,1,1,0,0,0,0
OR2AG2,0,0,1,0,0,5
OR2AJ1,0,0,0,0,0,0
OR2AK2,0,0,0,1,0,0
OR2AP1,0,0,0,0,0,0
OR2AT4,0,0,0,0,0,0
OR2B11,0,0,0,0,0,0
OR2B2,0,0,0,0,0,0
OR2B3,0,0,0,0,0,0
OR2B6,45,69,17,17,45,33
OR2B8P,1,6,3,2,1,0
OR2C1,0,0,1,4,0,0
OR2C3,0,0,0,0,0,0
OR2D2,4,0,0,0,0,0
OR2D3,0,0,0,0,0,0
OR2F1,0,0,0,0,1,0
OR2F2,0,0,0,0,0,0
OR2G2,0,0,0,0,0,0
OR2G3,0,0,0,0,0,0
OR2G6,0,0,0,0,0,0
OR2H1,0,0,0,0,0,0
OR2H2,8,8,4,6,0,4
OR2I1P,0,0,1,3,0,0
OR2J1,0,0,0,0,0,0
OR2J2,0,0,0,0,0,0
OR2J3,0,0,0,0,0,0
OR2K2,0,0,0,0,0,0
OR2L13,0,0,0,0,0,0
OR2L1P,0,0,0,0,0,0
OR2L2,1,0,0,0,0,0
OR2L3,0,0,0,0,0,0
OR2L5,0,0,0,0,0,0
OR2L8,0,0,0,0,0,0
OR2M1P,0,0,0,0,0,0
OR2M2,0,0,0,0,0,0
OR2M3,0,0,0,0,0,0
OR2M4,0,0,0,0,0,0
OR2M5,0,0,0,0,0,0
OR2M7,0,0,0,0,0,0
OR2S2,0,0,0,0,0,0
OR2T1,0,0,0,0,0,0
OR2T10,0,0,0,0,0,0
OR2T11,0,0,0,0,0,0
OR2T12,0,0,0,0,0,0
OR2T2,0,0,0,0,0,0
OR2T27,0,0,0,0,0,0
OR2T29,0,0,0,0,0,0
OR2T3,0,0,0,0,0,0
OR2T33,0,0,0,0,0,0
OR2T34,0,0,0,0,0,0
OR2T35,0,0,0,0,0,0
OR2T4,0,0,0,0,0,0
OR2T5,0,0,0,0,0,0
OR2T6,0,0,1,0,0,0
OR2T7,0,0,0,0,0,0
OR2T8,0,0,0,0,0,1
OR2V1,0,0,0,0,0,0
OR2V2,0,0,0,1,0,0
OR2W1,0,0,0,0,0,0
OR2W1-AS1,1,0,0,0,0,0
OR2W3,0,1,1,0,0,0
OR2W5P,0,0,0,0,0,0
OR2Y1,0,0,0,0,0,0
OR2Z1,0,0,0,0,0,0
OR3A1,0,0,0,0,0,0
OR3A2,0,0,0,1,0,0
OR3A3,0,0,0,0,1,0
OR3A4P,0,0,0,0,0,0
OR4A15,0,0,0,0,0,0
OR4A16,0,0,0,0,0,0
OR4A47,0,0,0,0,0,0
OR4A5,0,0,0,0,0,0
OR4B1,0,0,0,0,0,0
OR4C11,0,0,0,0,0,0
OR4C12,0,0,0,0,0,0
OR4C13,0,0,0,0,0,0
OR4C15,0,0,0,0,0,0
OR4C16,0,0,0,0,0,0
OR4C3,0,0,0,0,0,0
OR4C45,0,0,0,0,0,0
OR4C46,0,0,0,0,0,0
OR4C5,0,0,0,0,0,0
OR4C6,0,0,0,0,0,0
OR4D1,4,11,2,10,4,2
OR4D10,0,0,0,0,0,0
OR4D11,0,0,0,0,0,0
OR4D2,4,1,1,1,0,1
OR4D5,0,0,0,0,0,0
OR4D6,0,0,0,0,0,0
OR4D9,0,0,0,0,0,0
OR4E1,0,0,0,0,0,0
OR4E2,0,0,0,0,0,1
OR4F13P,0,0,0,0,0,0
OR4F15,0,0,0,0,0,0
OR4F17,0,0,0,0,0,0
OR4F21,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0
OR4F3,1,5,1,8,0,2
OR4F5,0,0,0,0,0,0
OR4F6,0,0,0,0,0,0
OR4K1,0,0,0,0,0,0
OR4K13,0,0,0,0,0,0
OR4K14,0,0,0,0,0,0
OR4K15,0,0,0,0,0,0
OR4K17,0,0,0,0,0,0
OR4K2,0,0,0,0,0,0
OR4K3,0,0,0,0,0,0
OR4K5,0,0,0,0,0,0
OR4L1,0,0,0,0,0,0
OR4M1,0,0,0,0,0,0
OR4M2-OT1,0,0,0,0,0,0
OR4M2B,0,0,0,0,0,0
OR4N2,0,0,0,0,0,0
OR4N4C,0,0,0,0,0,0
OR4N5,0,0,0,0,0,0
OR4P4,0,0,0,0,0,0
OR4Q2,0,0,0,0,0,0
OR4Q3,0,0,0,0,0,0
OR4S1,0,0,0,0,0,0
OR4S2,0,0,0,0,0,0
OR4X1,0,0,0,0,0,0
OR4X2,1,0,0,0,0,0
OR51A4,0,0,0,0,0,0
OR51A7,0,0,0,0,0,0
OR51B2,0,0,0,0,0,0
OR51B4,0,0,0,0,0,0
OR51B5,0,0,0,0,0,0
OR51B6,0,0,0,0,0,0
OR51C1P,0,0,0,0,0,0
OR51D1,0,0,0,0,0,0
OR51E1,0,0,0,0,0,0
OR51E2,0,0,0,0,0,0
OR51F1,0,0,0,0,0,0
OR51F2,0,0,0,0,0,0
OR51G1,0,0,0,0,0,0
OR51G2,0,0,0,0,0,0
OR51H1,0,0,0,0,0,0
OR51I1,0,0,0,0,0,0
OR51I2,0,0,0,0,0,0
OR51L1,0,0,0,0,0,0
OR51M1,0,0,0,0,0,0
OR51Q1,0,0,0,0,0,0
OR51S1,0,0,0,0,0,0
OR51T1,0,0,0,0,0,0
OR51V1,0,0,0,0,0,0
OR52A1,0,0,0,0,0,0
OR52A5,0,0,0,0,0,0
OR52B2,0,0,0,0,1,0
OR52B4,0,0,0,0,0,0
OR52B6,1,0,0,4,0,0
OR52D1,0,0,0,0,0,0
OR52E1,0,0,0,0,0,0
OR52E2,0,0,0,0,0,0
OR52E4,0,0,0,0,0,0
OR52E5,0,0,0,0,0,0
OR52E6,0,0,0,0,0,0
OR52E8,0,0,0,0,0,0
OR52H1,0,0,0,0,0,0
OR52I1,0,0,0,0,0,0
OR52I2,0,0,0,0,0,0
OR52J3,0,0,0,0,0,0
OR52K1,0,0,0,0,0,0
OR52K2,0,0,0,0,0,0
OR52L1,0,0,0,0,0,1
OR52M1,0,0,0,0,0,0
OR52N1,0,0,0,0,0,0
OR52N2,0,0,0,0,0,0
OR52N4,0,0,0,0,0,0
OR52N5,0,0,0,0,0,0
OR52P1,0,0,0,0,0,0
OR52R1,0,0,0,0,0,0
OR52W1,0,0,0,0,1,1
OR52Z1P,0,0,0,0,0,0
OR56A1,0,0,0,0,0,0
OR56A3,0,0,0,0,0,0
OR56A4,0,0,0,0,0,0
OR56A5,0,0,0,0,0,0
OR56B1,0,0,0,0,0,0
OR56B2P,0,0,0,0,0,0
OR56B4,0,0,0,0,1,0
OR5A1,0,0,0,4,0,0
OR5A2,0,0,0,0,0,0
OR5AC2,0,0,0,0,0,0
OR5AK2,0,0,0,0,0,0
OR5AK4P,0,0,0,0,0,0
OR5AL1,0,0,0,0,0,0
OR5AN1,0,0,0,0,0,0
OR5AP2,0,0,0,0,0,0
OR5AR1,0,0,0,0,0,0
OR5AS1,0,0,0,0,0,0
OR5AU1,0,0,0,0,0,0
OR5B12,0,2,0,0,0,1
OR5B17,0,0,0,0,0,0
OR5B2,0,5,1,0,2,3
OR5B21,0,1,1,0,0,0
OR5B3,0,0,0,0,0,0
OR5BS1P,0,0,0,0,0,0
OR5C1,0,0,0,0,0,1
OR5D13,0,0,0,0,0,0
OR5D14,0,0,0,0,0,0
OR5D16,0,0,0,0,0,0
OR5D18,0,0,0,0,0,0
OR5D3P,0,0,0,0,0,0
OR5E1P,0,0,0,0,0,0
OR5F1,0,0,0,0,0,0
OR5H1,0,0,0,0,0,0
OR5H14,0,0,0,0,0,0
OR5H15,0,0,0,0,0,0
OR5H2,0,0,0,0,0,0
OR5H6,0,0,0,0,0,0
OR5I1,0,0,0,0,0,0
OR5J2,0,0,0,0,0,0
OR5K1,0,2,0,0,0,0
OR5K2,0,1,0,10,0,1
OR5K3,0,0,0,0,0,0
OR5K4,0,0,0,0,0,0
OR5L1,0,0,0,0,0,0
OR5L2,0,0,0,0,0,0
OR5M1,0,0,0,0,0,0
OR5M10,0,0,0,0,0,0
OR5M11,0,0,0,0,0,0
OR5M3,0,0,0,0,0,0
OR5M8,0,0,0,0,0,0
OR5M9,0,0,0,0,0,0
OR5P2,0,0,0,0,0,0
OR5P3,0,0,0,0,0,0
OR5T1,0,0,0,0,0,0
OR5T2,0,0,0,0,0,0
OR5T3,0,0,0,0,0,0
OR5V1,0,0,0,0,0,0
OR5W2,0,0,0,0,0,0
OR6A2,0,0,0,0,0,0
OR6B1,0,0,0,0,0,0
OR6B2,0,1,0,1,0,0
OR6B3,0,0,0,0,0,0
OR6C1,0,5,0,0,0,0
OR6C2,0,0,0,0,0,0
OR6C3,0,0,0,0,0,0
OR6C4,0,0,0,0,0,0
OR6C6,0,1,0,0,0,1
OR6C65,0,0,0,0,0,0
OR6C68,0,0,0,0,0,0
OR6C70,0,0,0,0,0,0
OR6C74,0,0,0,0,0,0
OR6C75,0,0,0,0,0,0
OR6C76,0,0,0,0,0,0
OR6F1,0,0,0,0,0,0
OR6J1,1,1,1,1,2,2
OR6K2,0,0,0,0,0,0
OR6K3,0,0,0,0,0,0
OR6K6,0,0,0,0,0,0
OR6M1,0,0,0,0,1,0
OR6N1,0,0,0,0,0,0
OR6N2,0,0,0,0,0,0
OR6P1,0,0,0,0,0,0
OR6Q1,0,0,0,0,0,0
OR6S1,0,0,0,0,0,0
OR6T1,0,0,0,0,0,0
OR6V1,0,0,0,0,0,0
OR6W1P,0,0,0,0,0,0
OR6X1,0,0,0,0,0,0
OR6Y1,0,0,0,0,0,0
OR7A10,0,0,0,0,0,0
OR7A17,0,0,0,0,0,0
OR7A5,0,0,0,0,0,0
OR7C1,0,0,0,0,0,0
OR7C2,0,0,0,0,0,0
OR7D2,0,2,0,0,0,2
OR7D4,0,0,0,0,0,0
OR7E12P,0,11,4,1,1,2
OR7E14P,31,37,35,30,33,37
OR7E156P,0,0,0,0,0,0
OR7E24,0,0,0,0,0,0
OR7E2P,0,0,0,1,1,0
OR7E37P,0,0,0,0,0,2
OR7E47P,0,0,0,0,0,0
OR7E5P,0,4,0,0,0,0
OR7E91P,1,0,0,0,0,0
OR7G1,0,0,0,0,0,0
OR7G2,0,0,0,0,0,0
OR7G3,0,0,0,0,0,0
OR8A1,0,0,0,0,0,0
OR8B12,0,0,0,0,0,0
OR8B2,0,0,0,0,0,0
OR8B3,0,0,0,0,0,0
OR8B4,0,0,0,0,0,0
OR8B8,0,0,0,0,0,0
OR8D1,0,0,0,0,0,0
OR8D2,0,0,0,0,0,0
OR8D4,0,0,0,0,0,0
OR8G1,0,0,0,0,0,0
OR8G2P,0,0,0,0,0,0
OR8G3P,0,0,0,0,0,0
OR8G5,0,0,0,4,0,0
OR8H1,0,0,0,0,0,0
OR8H2,0,0,0,0,0,0
OR8H3,0,0,0,0,0,0
OR8I2,0,0,0,0,0,0
OR8J1,0,0,0,0,0,0
OR8J2,0,0,0,0,0,0
OR8J3,0,0,0,0,0,0
OR8K1,0,0,0,0,0,0
OR8K3,0,0,0,0,0,0
OR8K5,0,0,0,0,0,0
OR8S1,0,10,4,1,1,3
OR8U1,0,0,0,0,0,0
OR8U3,0,0,0,0,0,0
OR9A2,0,0,0,0,0,0
OR9A4,0,0,0,0,0,0
OR9G1,0,0,0,0,0,0
OR9G4,0,0,0,0,0,0
OR9G9,0,0,0,0,0,0
OR9H1P,0,0,0,0,0,0
OR9I1,0,0,0,0,0,0
OR9K2,0,0,0,0,0,0
OR9Q1,0,0,0,0,0,0
OR9Q2,0,0,0,0,0,0
ORAI1,170,295,292,195,275,195
ORAI2,546,808,825,747,735,644
ORAI3,96,167,134,112,146,154
ORC1,1275,1904,1796,1833,1491,1596
ORC2,731,996,838,862,823,841
ORC3,508,570,644,605,499,537
ORC4,970,1181,864,956,895,1006
ORC5,575,753,660,601,596,701
ORC6,1137,1463,1340,1260,1463,1229
ORM1,1,0,0,0,0,0
ORMDL1,558,718,559,642,585,591
ORMDL2,566,757,708,638,747,634
ORMDL3,532,650,611,558,567,625
OS9,2466,3239,3309,2942,2873,2772
OSBP,1383,1944,1908,1828,1641,1494
OSBP2,146,297,300,231,245,205
OSBPL10,80,129,144,122,79,95
OSBPL10-AS1,0,0,0,0,0,0
OSBPL11,815,1112,1032,980,825,823
OSBPL1A,612,919,918,908,560,614
OSBPL2,781,1058,924,837,848,777
OSBPL3,332,547,499,544,400,357
OSBPL5,169,222,300,235,253,250
OSBPL6,561,713,836,731,523,547
OSBPL7,188,325,264,219,300,260
OSBPL8,550,765,653,834,638,637
OSBPL9,1632,2110,1909,1673,1772,1774
OSCAR,5,13,10,8,9,6
OSCP1,362,396,321,300,306,380
OSER1,1085,1514,1008,1056,1232,1319
OSER1-DT,96,122,63,66,137,92
OSGEP,921,1408,1257,1141,1330,1187
OSGEPL1,106,164,172,132,110,114
OSGEPL1-AS1,10,13,14,5,33,16
OSGIN1,16,30,36,18,39,26
OSGIN2,353,387,381,422,276,297
OSM,11,9,2,13,2,0
OSMR,3,18,23,12,5,7
OSMR-DT,1,0,0,4,2,1
OSR1,18,25,15,32,25,23
OSR2,98,148,143,158,180,113
OST4,711,969,910,755,1024,750
OSTC,655,935,872,817,792,822
OSTCP1,0,0,0,0,0,0
OSTCP2,0,0,0,0,0,0
OSTF1,115,204,261,243,192,195
OSTM1,236,408,281,271,274,288
OSTM1-AS1,0,0,2,3,0,0
OSTN,6,13,23,22,11,14
OSTN-AS1,2,1,2,5,0,2
OTC,0,0,0,0,0,0
OTOA,0,3,0,2,1,0
OTOAP1,0,0,1,0,1,0
OTOF,7,9,12,7,9,3
OTOG,9,11,17,6,11,16
OTOGL,4,0,0,0,0,0
OTOL1,0,1,6,1,1,0
OTOP1,0,0,4,5,0,0
OTOP2,3,20,7,7,20,13
OTOP3,0,0,1,1,0,0
OTOR,0,1,0,2,0,0
OTOS,0,0,0,0,0,0
OTP,9,13,22,4,14,22
OTUB1,2053,2813,2529,2339,3066,2426
OTUB2,74,148,104,114,85,80
OTUD1,141,163,194,191,140,121
OTUD3,698,875,823,882,798,770
OTUD4,815,1110,952,1029,853,878
OTUD5,1741,2522,2337,2079,2199,2047
OTUD6A,1,0,0,0,4,1
OTUD6B,259,324,275,328,242,268
OTUD6B-AS1,297,420,313,416,353,397
OTUD7A,90,156,154,127,98,121
OTUD7B,1860,2738,2406,2408,2038,2027
OTULIN,411,662,585,565,515,599
OTULIN-DT,4,11,4,2,6,14
OTULINL,148,202,185,185,149,133
OTX1,39,49,81,64,86,49
OTX2,48,89,90,69,89,92
OTX2-AS1,0,0,0,0,0,0
OVAAL,0,2,0,0,0,0
OVCA2,48,81,94,71,89,69
OVCH1,0,0,2,0,0,0
OVCH1-AS1,0,2,0,0,1,4
OVCH2,0,0,2,0,0,0
OVGP1,789,953,765,606,823,648
OVOL1,2,11,10,5,2,8
OVOL1-AS1,1,1,0,5,2,1
OVOL2,5,0,3,1,0,4
OVOL3,21,14,21,9,15,16
